"","year","temp"
"1",1970,10.49
"2",1971,9.77
"3",1972,10.14
"4",1973,11.43
"5",1974,10.29
"6",1975,9.95
"7",1976,9.93
"8",1977,11.28
"9",1978,10.58
"10",1979,10.19
"11",1980,10.5
"12",1981,10.6
"13",1982,9.91
"14",1983,10.85
"15",1984,10.1
"16",1985,10.98
"17",1986,11.22
"18",1987,11.65
"19",1988,11.01
"20",1989,11.16
"21",1990,10.76
"22",1991,9.8
"23",1992,12.05
"24",1993,11.04
"25",1994,11.71
"26",1995,10.77
"27",1996,10.33
"28",1997,10.29
"29",1998,11.46
"30",1999,10.2
"31",2000,11.43
"32",2001,11.48
"33",2002,10.14
"34",2003,10.83
"35",2004,11.59
"36",2005,11.24
"37",2006,11.24
"38",2007,11.15
"39",2008,9.9
"40",2009,10.5
"41",2010,10.23
"42",2011,9.73
"43",2012,9.98
"44",2013,10.86
"45",2014,10.92
"46",2015,12.1
"47",2016,11.61
"48",2017,10.59
"49",2018,10.96
"50",2019,11.32
"51",2020,10.62
